City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Bubaque,GW,2021-01-26 01:37:34,11.2833,-15.8333,78.08,75,0,9.75
107,Hilo,US,2021-01-26 01:36:16,19.7297,-155.09,77.0,73,90,11.5
108,Maua,BR,2021-01-26 01:36:54,-23.6678,-46.4614,69.8,94,40,10.36
109,Qaqortoq,GL,2021-01-26 01:37:36,60.7167,-46.0333,24.8,26,55,27.63
110,Port Alfred,ZA,2021-01-26 01:37:01,-33.5906,26.891,63.0,92,0,9.44
111,Labuhan,ID,2021-01-26 01:37:36,-6.8844,112.2051,80.1,80,89,4.32
112,Abu Samrah,SY,2021-01-26 01:37:36,35.3029,37.1841,39.54,72,0,2.19
113,Conceicao Do Araguaia,BR,2021-01-26 01:37:36,-8.2578,-49.2647,74.53,89,39,2.1
114,Garissa,KE,2021-01-26 01:37:37,-0.4536,39.6401,74.34,77,99,7.7
115,Beisfjord,NO,2021-01-26 01:37:37,68.3751,17.5988,6.8,85,0,5.88
116,Sao Filipe,CV,2021-01-26 01:37:04,14.8961,-24.4956,73.09,63,28,7.09
117,Aktash,RU,2021-01-26 01:37:37,50.3,87.7333,-15.61,89,100,2.48
118,Airai,TL,2021-01-26 01:35:35,-8.9266,125.4092,69.73,86,91,4.79
119,Bartica,GY,2021-01-26 01:37:37,6.4,-58.6167,75.2,94,20,4.61
120,Dauphin,CA,2021-01-26 01:37:37,51.1494,-100.0502,-20.2,76,1,4.61
121,Payo,ID,2021-01-26 01:37:37,-3.7508,103.6372,72.88,97,100,2.62
122,Coquimbo,CL,2021-01-26 01:37:37,-29.9533,-71.3436,62.6,82,75,6.91
123,Torbay,CA,2021-01-26 01:37:38,47.6666,-52.7314,28.99,93,90,10.36
124,Morehead,US,2021-01-26 01:37:38,37.2711,-87.1764,52.0,87,90,6.91
125,Jambi,ID,2021-01-26 01:37:38,-1.6,103.6167,78.17,89,97,3.76
126,Lata,PT,2021-01-26 01:33:04,40.1629,-8.3327,59.0,95,100,1.01
127,Rorvik,NO,2021-01-26 01:36:47,64.8621,11.2373,32.95,93,80,20.4
128,Ribeira Grande,PT,2021-01-26 01:37:38,38.5167,-28.7,63.28,89,100,23.76
129,Nanyamba,TZ,2021-01-26 01:37:38,-10.6833,39.8333,75.2,88,20,8.05
130,Saint-Francois,FR,2021-01-26 01:37:39,46.4154,3.9054,30.2,93,0,1.14
131,Inirida,CO,2021-01-26 01:37:39,3.8653,-67.9239,74.19,95,100,1.83
132,Mehamn,NO,2021-01-26 01:37:39,71.0357,27.8492,27.93,97,100,26.64
133,Kantang,TH,2021-01-26 01:37:39,7.4054,99.5156,82.99,88,20,4.12
134,Fairbanks,US,2021-01-26 01:35:02,64.8378,-147.7164,1.4,85,40,2.28
135,Dharchula,IN,2021-01-26 01:37:28,29.85,80.5333,44.76,33,0,6.51
136,Zlobin,HR,2021-01-26 01:37:40,45.2924,14.6541,39.2,60,20,13.8
137,Adrar,MR,2021-01-26 01:37:40,20.5022,-10.0711,65.23,22,0,8.95
138,Narsaq,GL,2021-01-26 01:37:35,60.9167,-46.05,24.8,26,62,27.63
139,Yellowknife,CA,2021-01-26 01:37:00,62.456,-114.3525,-20.0,69,75,10.36
140,Avera,US,2021-01-26 01:37:40,33.194,-82.5271,68.0,77,1,6.91
141,Shingu,JP,2021-01-26 01:36:45,33.7333,135.9833,60.8,59,75,11.5
142,Sorong,ID,2021-01-26 01:37:40,-0.8833,131.25,83.64,70,100,1.5
143,Katsuura,JP,2021-01-26 01:37:31,35.1333,140.3,51.01,66,75,10.36
144,Damaturu,NG,2021-01-26 01:37:41,11.747,11.9608,66.92,22,23,8.88
145,Bongandanga,CD,2021-01-26 01:37:41,1.5,21.05,72.27,91,100,1.43
146,East London,ZA,2021-01-26 01:37:32,-33.0153,27.9116,68.77,78,0,12.33
147,Rjukan,NO,2021-01-26 01:37:41,59.8789,8.5941,10.0,72,0,14.0
148,Chuy,UY,2021-01-26 01:37:41,-33.6971,-53.4616,72.7,88,0,7.94
149,Buritis,BR,2021-01-26 01:37:42,-15.6178,-46.4233,70.14,84,94,0.16
150,Avarua,CK,2021-01-26 01:37:42,-21.2078,-159.775,86.0,70,40,12.66
151,Aklavik,CA,2021-01-26 01:37:42,68.2191,-135.0107,-7.6,77,98,3.44
152,Taoudenni,ML,2021-01-26 01:32:57,22.6783,-3.9836,68.16,22,75,9.15
153,Ostrovnoy,RU,2021-01-26 01:37:42,68.0531,39.5131,15.4,95,100,14.05
154,Quelimane,MZ,2021-01-26 01:37:42,-17.8786,36.8883,75.2,94,20,2.3
155,Saint-Michel-Des-Saints,CA,2021-01-26 01:37:43,46.6834,-73.9159,3.0,94,52,2.66
156,Araouane,ML,2021-01-26 01:37:43,18.9048,-3.5265,65.21,19,24,9.64
157,Hithadhoo,MV,2021-01-26 01:35:23,-0.6,73.0833,80.8,74,100,3.62
158,Requena,ES,2021-01-26 01:37:43,39.4883,-1.1004,55.0,84,6,6.6
159,Alofi,NU,2021-01-26 01:36:33,-19.0595,-169.9187,82.4,78,90,8.05
160,Kununurra,AU,2021-01-26 01:37:43,-15.7667,128.7333,80.6,100,100,3.44
161,Americus,US,2021-01-26 01:37:43,32.0724,-84.2327,69.8,68,1,6.91
162,Barabai,ID,2021-01-26 01:37:44,-2.5833,115.3833,83.03,76,100,1.7
163,Lososina,RU,2021-01-26 01:37:44,48.9975,140.3106,1.8,89,100,2.95
164,Lipari,IT,2021-01-26 01:37:44,38.4674,14.954,59.0,63,100,21.83
165,Khandyga,RU,2021-01-26 01:37:44,62.6667,135.6,-49.2,74,0,1.34
166,Dikson,RU,2021-01-26 01:36:59,73.5069,80.5464,-24.68,85,100,12.1
