City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Menongue,AO,-14.6585,17.691,62.92,94,100,5.03,light rain
222,Maunabo,PR,18.0072,-65.8993,75.0,89,29,4.0,scattered clouds
223,Ahipara,NZ,-35.1667,173.1667,72.07,48,0,5.64,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,64.4,59,75,8.05,broken clouds
225,Surt,LY,31.2089,16.5887,64.98,41,0,12.19,clear sky
226,Mogadishu,SO,2.0371,45.3438,74.88,83,0,17.02,clear sky
227,Voh,NC,-20.9667,164.7,84.36,52,22,6.02,few clouds
228,Cedar Falls,US,42.5278,-92.4455,30.99,93,90,19.57,light snow
229,Pedasi,PA,7.5333,-80.0333,80.02,76,80,21.05,broken clouds
230,Fare,PF,-16.7,-151.0167,81.59,69,50,5.44,scattered clouds
231,Russell,US,32.3502,-85.1999,53.6,62,40,5.75,scattered clouds
232,Meulaboh,ID,4.1363,96.1285,74.62,85,80,3.89,broken clouds
233,Eureka,US,40.8021,-124.1637,54.0,87,90,3.44,light rain
234,Pisco,PE,-13.7,-76.2167,73.4,68,0,17.27,clear sky
235,Kaabong,UG,3.4836,34.1492,68.41,44,2,9.15,clear sky
236,Catia La Mar,VE,10.6038,-67.0303,78.8,83,40,10.49,scattered clouds
237,San Joaquin,US,37.9333,-121.3011,60.8,51,90,9.22,overcast clouds
238,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,8.05,scattered clouds
239,Zyryanka,RU,65.75,150.85,-31.58,83,100,12.88,overcast clouds
240,Ayan,RU,56.45,138.1667,-7.1,84,100,6.87,overcast clouds
241,Boone,US,39.0334,-92.3335,43.0,86,100,1.01,light rain
242,Mananara,MG,-16.1667,49.7667,74.97,88,9,2.93,clear sky
243,Brora,GB,58.0099,-3.8518,32.0,93,19,3.44,few clouds
244,Guerrero Negro,MX,27.9769,-114.0611,61.92,60,32,16.04,scattered clouds
245,Bulaevo,KZ,54.9056,70.4439,11.39,94,100,10.69,overcast clouds
246,Kruisfontein,ZA,-34.0033,24.7314,60.01,90,1,3.11,clear sky
247,Annau,TM,37.8876,58.516,51.8,58,75,11.5,broken clouds
248,Gueret,FR,46.1667,1.8667,44.6,100,90,10.36,overcast clouds
249,Mao,ES,39.8885,4.2658,48.2,93,20,3.44,few clouds
250,Kununurra,AU,-15.7667,128.7333,82.4,94,75,6.91,broken clouds
251,Bilibino,RU,68.0546,166.4372,-27.33,79,1,5.97,clear sky
252,Cabedelo,BR,-6.9811,-34.8339,78.8,83,0,5.75,clear sky
253,Kargasok,RU,59.0556,80.8572,-24.2,84,100,9.89,overcast clouds
254,Narrabri,AU,-30.3167,149.7833,86.0,39,75,5.75,broken clouds
