City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
381,Benjamin Aceval,PY,86.0,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
384,Afua,BR,76.55,overcast clouds,-0.1567,-50.3867,Hotel Dias
391,Karratha,AU,87.89,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
399,Paciran,ID,79.25,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
401,Galesong,ID,75.2,scattered clouds,-5.3166,119.3661,Sapriadi Appy
410,Robertsport,LR,80.19,broken clouds,6.7533,-11.3686,Kwepunha Retreat
413,Bitung,ID,78.8,scattered clouds,1.4451,125.1824,K2 Lembeh
415,Hervey Bay,AU,84.2,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
419,Quelimane,MZ,80.6,broken clouds,-17.8786,36.8883,Hotel Flamingo
429,Kaffrine,SN,78.8,clear sky,14.1059,-15.5508,Beuleup counda motel
430,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
438,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
442,Santa Cruz,BO,76.86,broken clouds,-17.8,-63.1667,Hotel Cortez
443,Puerto Quijarro,BO,78.93,overcast clouds,-17.7833,-57.7667,Hotel palance
448,Byron Bay,AU,80.6,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
453,Tanete,ID,81.45,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
455,Natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
456,Puerto Asis,CO,77.47,few clouds,0.5133,-76.5007,Ayawaska Hostal
470,Kokopo,PG,82.02,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
472,Sambava,MG,75.9,clear sky,-14.2667,50.1667,Melrose
473,Bambanglipuro,ID,77.63,overcast clouds,-7.95,110.2833,Puri Brata
474,Karaton,ID,79.0,mist,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
475,Porto Belo,BR,80.01,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
483,Sainte-Marie,RE,78.8,scattered clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
490,Macapa,BR,80.6,few clouds,0.0389,-51.0664,Atalanta Hotel
494,Nelson,NZ,75.99,clear sky,-41.2833,173.2833,Trailways Hotel
495,Charters Towers,AU,82.11,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
505,Manokwari,ID,79.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
506,Tayu,ID,79.14,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
522,Coahuayana,MX,80.6,clear sky,18.7333,-103.6833,Hotel Los Arcos
527,Toowoomba,AU,80.6,overcast clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
528,Puerto Baquerizo Moreno,EC,77.97,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
529,Buala,SB,85.15,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
533,Mali,GN,80.6,clear sky,12.079,-12.2982,Hotel La Dame de Mali
538,Broken Hill,AU,77.0,broken clouds,-31.95,141.4333,Royal Exchange Hotel
540,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
541,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
546,Trincomalee,LK,78.93,broken clouds,8.5711,81.2335,Welcombe Hotel
547,Kailua,US,80.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
550,Oriximina,BR,80.22,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
554,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
556,Formosa,AR,75.2,clear sky,-26.1775,-58.1781,Asterión Hotel
580,Kudahuvadhoo,MV,81.07,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
586,Moroni,KM,80.2,overcast clouds,-11.7022,43.2551,Hotel les Arcades
598,Poum,NC,80.1,broken clouds,-20.2333,164.0167,Gîte kajeon
604,Santa Isabel,BR,82.4,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
610,Maxixe,MZ,77.31,clear sky,-23.8597,35.3472,Oceano
615,Sao Jose Da Coroa Grande,BR,78.42,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
621,Amuntai,ID,77.07,overcast clouds,-2.4177,115.2494,Hotel Balqis
630,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
631,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
634,Champerico,GT,84.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
637,Ouro Preto Do Oeste,BR,75.69,scattered clouds,-10.7481,-62.2158,Graúna Resort Hotel
644,Man,CI,75.85,broken clouds,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
650,La Asuncion,VE,76.98,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
657,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
660,Urucara,BR,75.13,few clouds,-2.5364,-57.76,Hotel japa
661,Ipixuna,BR,80.6,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
664,Autazes,BR,77.11,clear sky,-3.5797,-59.1306,Apart hotel Tupinambá
666,Pangai,TO,84.2,light rain,-19.8,-174.35,Ha'apai Beach Resort
673,Bourail,NC,82.24,broken clouds,-21.5667,165.4833,Motel Allamanda
676,Jardim,BR,77.18,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
684,Takoradi,GH,79.27,overcast clouds,4.8845,-1.7554,Raybow International Hotel
689,Contamana,PE,77.7,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
692,Maceio,BR,75.2,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
693,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
696,Bacolod,PH,78.04,broken clouds,10.6667,122.95,Planta Hotel & Residences
698,Ariquemes,BR,75.72,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
699,Arenapolis,BR,76.59,broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
701,Dubbo,AU,87.8,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
703,Sinnamary,GF,78.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
706,Brisbane,AU,84.0,light rain,-27.4679,153.0281,Royal On The Park Brisbane
707,Seybaplaya,MX,78.8,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
710,Horqueta,PY,81.66,scattered clouds,-23.3428,-57.0597,Hospedaje Heina
713,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
